,T,P,R
0,-20.0,20.000000000000004,1.8911892965301937
1,-11.11111111111111,20.000000000000004,1.827406354999446
2,-2.2222222222222214,20.000000000000004,1.7678188654833085
3,6.666666666666668,20.000000000000004,1.7120228783384353
4,15.555555555555557,20.000000000000004,1.6596650641391941
5,24.444444444444443,20.000000000000004,1.610434972543054
6,33.333333333333336,20.000000000000004,1.5640586781773482
7,42.22222222222223,20.000000000000004,1.5202935304313145
8,51.111111111111114,20.000000000000004,1.4789237885342252
9,60.0,20.000000000000004,1.4397569716529188
10,-20.0,29.68883196722484,2.789977571424444
11,-11.11111111111111,29.68883196722484,2.696171888856487
12,-2.2222222222222214,29.68883196722484,2.608539551638621
13,6.666666666666668,29.68883196722484,2.5264839360587183
14,15.555555555555557,29.68883196722484,2.4494836706432483
15,24.444444444444443,29.68883196722484,2.377081027623908
16,33.333333333333336,29.68883196722484,2.308872416088006
17,42.22222222222223,29.68883196722484,2.2445005428030202
18,51.111111111111114,29.68883196722484,2.183647906820547
19,60.0,29.68883196722484,2.1260313686906263
20,-20.0,44.071337178905566,4.103402276502638
21,-11.11111111111111,44.071337178905566,3.966117828917106
22,-2.2222222222222214,44.071337178905566,3.8378670604161753
23,6.666666666666668,44.071337178905566,3.7177733374866606
24,15.555555555555557,44.071337178905566,3.605071415804362
25,24.444444444444443,44.071337178905566,3.499090087992993
26,33.333333333333336,44.071337178905566,3.399238009081414
27,42.22222222222223,44.071337178905566,3.3049920352273494
28,51.111111111111114,44.071337178905566,3.215887566543893
29,60.0,44.071337178905566,3.1315105002369448
30,-20.0,65.42132620377183,6.00764252892023
31,-11.11111111111111,65.42132620377183,5.808284483436868
32,-2.2222222222222214,65.42132620377183,5.622018356877362
33,6.666666666666668,65.42132620377183,5.44756997019806
34,15.555555555555557,65.42132620377183,5.28382808797824
35,24.444444444444443,65.42132620377183,5.129818816795203
36,33.333333333333336,65.42132620377183,4.984684737600606
37,42.22222222222223,65.42132620377183,4.847667772253599
38,51.111111111111114,65.42132620377183,4.718095020347012
39,60.0,65.42132620377183,4.5953669772298165
40,-20.0,97.11413803683918,8.735444236381467
41,-11.11111111111111,97.11413803683918,8.449540208625999
42,-2.2222222222222214,97.11413803683918,8.182286619459022
43,6.666666666666668,97.11413803683918,7.931871243230776
44,15.555555555555557,97.11413803683918,7.6967138988610655
45,24.444444444444443,97.11413803683918,7.475429900888972
46,33.333333333333336,97.11413803683918,7.26680028593357
47,42.22222222222223,97.11413803683918,7.069747380829508
48,51.111111111111114,97.11413803683918,6.883314617400215
49,60.0,97.11413803683918,6.706649749691409
50,-20.0,144.1602662908799,12.572474948879234
51,-11.11111111111111,144.1602662908799,12.170552030617369
52,-2.2222222222222214,144.1602662908799,11.794422276795258
53,6.666666666666668,144.1602662908799,11.441609960543891
54,15.555555555555557,144.1602662908799,11.109952923077882
55,24.444444444444443,144.1602662908799,10.797553741549457
56,33.333333333333336,144.1602662908799,10.502739833606153
57,42.22222222222223,144.1602662908799,10.22403063564839
58,51.111111111111114,144.1602662908799,9.96011042431118
59,60.0,144.1602662908799,9.709805673270626
60,-20.0,213.9974961130161,17.827187510775733
61,-11.11111111111111,213.9974961130161,17.279244582815885
62,-2.2222222222222214,213.9974961130161,16.765306729547923
63,6.666666666666668,213.9974961130161,16.2822116240584
64,15.555555555555557,213.9974961130161,15.827184482820458
65,24.444444444444443,213.9974961130161,15.39777987736114
66,33.333333333333336,213.9974961130161,14.991833759706838
67,42.22222222222223,213.9974961130161,14.607423673140275
68,51.111111111111114,213.9974961130161,14.242835564657959
69,60.0,213.9974961130161,13.896535954690618
70,-20.0,317.66678517530903,24.761267633137773
71,-11.11111111111111,317.66678517530903,24.04643327311056
72,-2.2222222222222214,317.66678517530903,23.373380851541395
73,6.666666666666668,317.66678517530903,22.738460083393544
74,15.555555555555557,317.66678517530903,22.138437677155522
75,24.444444444444443,317.66678517530903,21.57043973532428
76,33.333333333333336,317.66678517530903,21.031903274914796
77,42.22222222222223,317.66678517530903,20.520535281006207
78,51.111111111111114,317.66678517530903,20.03427799788598
79,60.0,317.66678517530903,19.571279400166706
80,-20.0,471.5577903319127,33.48955621518501
81,-11.11111111111111,471.5577903319127,32.609348277966504
82,-2.2222222222222214,471.5577903319127,31.77585217176161
83,6.666666666666668,471.5577903319127,30.98540586557055
84,15.555555555555557,471.5577903319127,30.234714022459837
85,24.444444444444443,471.5577903319127,29.520805347017287
86,33.333333333333336,471.5577903319127,28.840995228074114
87,42.22222222222223,471.5577903319127,28.1928530571595
88,51.111111111111114,471.5577903319127,27.57417364671977
89,60.0,471.5577903319127,26.982952226307997
90,-20.0,700.0000000000001,43.900615454196306
91,-11.11111111111111,700.0000000000001,42.88795174918542
92,-2.2222222222222214,700.0000000000001,41.92203204488581
93,6.666666666666668,700.0000000000001,40.999738781412276
94,15.555555555555557,700.0000000000001,40.118208808588925
95,24.444444444444443,700.0000000000001,39.274811307766775
96,33.333333333333336,700.0000000000001,38.467127285541586
97,42.22222222222223,700.0000000000001,37.69293068261024
98,51.111111111111114,700.0000000000001,36.95017107419538
99,60.0,700.0000000000001,36.23695789694696
